"","Date","Header"
"1",2016-12-01,"Apple Said to Fly Drones to Improve Maps Data and Catch Google"
"2",2016-12-02,"Chipmakers Tumble Most Since June on Report Apple Cut Orders"
"3",2016-12-03,"Apple and EU Clash in Public Ahead of Court Fight Over Tax Bill"
"4",2016-12-05,"VW’s Moia Goes After Uber, Apple With Electric Car Sharing (1)"
"5",2016-12-07,"Apple’s Top Assembler Foxconn Confirms Plans for U.S. Investment"
"6",2016-12-07,"Supreme Court Orders New Look at Apple’s Award From Samsung (2)"
"7",2016-12-08,"Apple Said in Talks With Film Studios for Early Movie Rental (1)"
"8",2016-12-12,"Alphabet’s Page, Schmidt Said to Attend Trump Tech Meeting (1)"
"9",2016-12-13,"Apple Said to Discuss Investing in $100 Billion SoftBank Fund"
"10",2016-12-14,"Starbucks Brews Up a Tax Storm as Apple Gets Set to Fight EU"
"11",2016-12-16,"Departing Apple Analyst Has Some Doubts After 12 Bullish Years"
"12",2016-12-17,"The Inside Story of Apple's $14 Billion Tax Bill
The iPhone came out in 2007. So why was Apple still paying taxes like it was 1990?"
"13",2016-12-19,"EU Interferes With National Powers in Apple Case, Irish Say (1)"
"14",2016-12-20,"Apple Fights $13.6 Billion Tax Bill as EU Lifts Lid on Case (1)"
"15",2016-12-20,"How Apple Alienated Mac Loyalists
Inside the company, the once iconic computer is getting far less attention than it once did."
"16",2016-12-20,"Sony Is Said to Invest in Italian Rival to Apple’s ITunes (1)"
"17",2016-12-22,"Apple Tax Fight Looks More Difficult After EU Court Ruling (1)"
"18",2016-12-22,"Apple's Search for Better iPhone Screens Leads to Japan's Rice Fields"
"19",2016-12-22,"Nokia Sues Apple Over Alleged Patent Infringement (1)"
"20",2016-12-22,"Nokia Sues Apple to Escalate Mobile-Patent Licensing Battle"
"21",2016-12-22,"Nokia Suits Escalate Apple Mobile-Patent Licensing Fight (4)"
"22",2016-12-22,"Taiwan Holds Rate as New iPhone, Rising Oil Boost Outlook (2)"
"23",2016-12-27,"Super Mario Run No Longer Highest Grossing App in Any Nation (2)"
"24",2016-12-28,"Fitbit Gains Most in Three Months After App Tops Apple Chart (1)"
"25",2017-01-03,"India Poised to Reject Apple’s Demand for Manufacturing Sops"
"26",2017-01-04,"Apple's India Setback on Tax Breaks Is Far From a Defeat: Gadfly
It's part of negotiations, and iPhone assemblers will play a key role in the next step."
"27",2017-01-04,"Apple’s Shadow Looms Over Wireless-Charging Company Energous (1)"
"28",2017-01-04,"Ford, Toyota Form Telematics Bloc to Stymie Google and Apple (1)"
"29",2017-01-05,"Apple Invests $1 Billion in SoftBank Fund to Support New Tech"
"30",2017-01-05,"Apple to Invest $1 Billion in SoftBank Fund to Support Tech (1)"
"31",2017-01-06,"Apple Bosses See Pay Drop in 2016 as CEO Reaps $145 Million (1)"
"32",2017-01-06,"Apple Executives See Pay Drop in 2016 as CEO Reaps $145 Million"
"33",2017-01-06,"Apple's Still Hardware Company Despite App Store Sales: Gadfly
Phones and computers continue to overshadow internet services."
"34",2017-01-11,"Apple IPhone-Maker Hon Hai Posts First Sales Slide on Record (1)"
"35",2017-01-11,"IPhone Maker Hon Hai Posts First Sales Fall Amid Smartphone Woes"
"36",2017-01-11,"Tesla’s Autopilot Head Said to Depart as Apple Engineer Hired"
"37",2017-01-11,"Tesla’s Head of Autopilot Departs as Musk Hires Apple Engineer"
"38",2017-01-12,"Apple Planning TV Originals for Music Subscribers, WSJ Reports"
"39",2017-01-13,"Apple Must Face Consumer Lawsuit Over IPhone Apps Monopoly (3)"
"40",2017-01-13,"Apple Said to Seek Original Shows to Expand Music Service"
"41",2017-01-13,"Apple Wisely Chooses the Do-It-Yourself Route on Media: Gadfly
It can become like HBO without having to spend billions on an acquisition."
"42",2017-01-13,"Apple Must Face Consumer Lawsuit Over iPhone Apps Monopoly (2)"
"43",2017-01-14,"Laurene Powell Jobs Cuts Disney Stake in Half to $7 Billion (1)"
"44",2017-01-17,"Apple to Raise U.K. App Store Prices to Counter Weakened Pound"
"45",2017-01-17,"China Said to Be Concerned About Foxconn’s U.S. Intentions (1)"
"46",2017-01-17,"China Said to be Concerned About Foxconn’s U.S. Investment Plans"
"47",2017-01-17,"Foxconn’s Gou Said to Assuage China About U.S. Investment Plans"
"48",2017-01-18,"Apple’s EU Bill Creeps Up as Analyst Sees $1.6 Billion Interest"
"49",2017-01-18,"Qualcomm Accused of Forcing Deal on Apple to Thwart Rivals (2)"
"50",2017-01-18,"Qualcomm Forced Apple to Exclusively Use Chips, U.S. Says (1)"
"51",2017-01-19,"Shiseido Buys Apple App MATCHCo to Enter Bespoke Makeup Market"
"52",2017-01-20,"Apple Is Ready to Start Making iPhones in India -- at a Price"
"53",2017-01-21,"Apple Sues Qualcomm Over Patent Royalties in Antitrust Case (1)"
"54",2017-01-23,"Apple’s Legal Assault on Qualcomm Is Part of Phone Margin Grab"
"55",2017-01-23,"Apple-Supplier Foxconn Weighs $7 Billion U.S. Display Plant (1)"
"56",2017-01-23,"Apple’s Legal Assault on Qualcomm Is Part of Margin Grab (1)"
"57",2017-01-23,"Foxconn Weighs $7 Billion U.S. Factory With Apple, Nikkei Says"
"58",2017-01-24,"Alphabet Gets Robotics Pioneer Back After Her Stint With Apple"
"59",2017-01-26,"Apple IPhone Price Under Pressure as Buyers Seek Cheaper Devices"
"60",2017-01-26,"Steve Jobs of Oil Drilling Carved Baker Hughes Path to GE Deal"
"61",2017-01-27,"Apple Said to Join Amazon, Google in AI Research Group (1)"
